prompt_id,prompt_text,topic,volume,divergence_score,silence_type,own_silence,visibility_chatgpt,visibility_gemini,visibility_ai_overview,top_competitors,source_classes
pr_052a6419-3a6e-49c5-9995-e2812de6cb50,Finde hochwertiges Pferdefutter mit natürlichen Inhaltsstoffen.,Pferde Nahrungsergänzungsmittel,2,0.0,own_only,True,0,0,0,"Pavo (100%), Marstall (100%), St. Hippolyt (100%)","CORPORATE 91%, REFERENCE 4%, EDITORIAL 4%"
pr_df6c13c4-5d9c-45f9-8971-cb9a61a20b5e,Wo finde ich in der Schweiz gesundes Pferdefutter ohne Zucker?,Pferdefutter Ergänzungsmittel,2,0.0,own_only,True,0,0,0,"Marstall (100%), Höveler (100%), Pavo (67%), Nösenberger (67%), St. Hippolyt (33%)","CORPORATE 97%, OTHER 2%"
pr_7a8a9195-6c6b-417b-9340-ce1db1d99933,Zeig mir Magenpellets ohne Zuckerzusatz.,Pferde Nahrungsergänzungsmittel,1,0.0,own_only,True,0,0,0,"Marstall (100%), St. Hippolyt (100%), Eggersmann (33%)",CORPORATE 100%
pr_ad86aab8-1689-4374-b2eb-816d091ee9ad,Empfiehl mir natürliches Ergänzungsfutter für mein Pferd.,Pferde Nahrungsergänzungsmittel,2,0.0,own_only,True,0,0,0,"St. Hippolyt (67%), Pavo (33%)","CORPORATE 60%, REFERENCE 23%, EDITORIAL 13%, OTHER 3%"
pr_b6f268b3-2a12-4b2d-a6c8-6604a6487b4d,Wo finde ich in Deutschland gesundes Pferdefutter?,Natürliche Pferdepflege,3,0.0,own_only,True,0,0,0,"Pavo (100%), Marstall (67%), St. Hippolyt (67%), Eggersmann (33%), Höveler (33%)","CORPORATE 84%, INSTITUTIONAL 7%, OTHER 2%, EDITORIAL 2%, REFERENCE 2%"
pr_566b4b82-53bb-4435-ac57-2a02e3eb88aa,Zeige mir gute Vitamine für mein Pferd.,Pferde Vitamine und Mineralstoffe,2,0.0,own_only,True,0,0,0,"Pavo (33%), Marstall (33%), Eggersmann (33%), Höveler (33%)","CORPORATE 79%, REFERENCE 10%, EDITORIAL 6%, INSTITUTIONAL 3%"
pr_f410d9cf-503e-4fea-904b-f1fcc0ec70df,Gutes Zusatzfutter für Magen-Darm-Gesundheit beim Pferd gesucht.,Magen-Darm-Gesundheit Pferd,2,0.0,own_only,True,0,0,0,"Pavo (33%), Marstall (33%), Höveler (33%), St. Hippolyt (33%)","CORPORATE 74%, INSTITUTIONAL 9%, REFERENCE 6%, UGC 3%, OWN 3%, EDITORIAL 3%"
pr_e229fc63-4622-49a9-99d3-65436ec2ee19,Nenne mir empfehlenswerte Mineralstoffe für Pferde.,Pferde Vitamine und Mineralstoffe,2,0.0,own_only,True,0,0,0,"Pavo (67%), Marstall (67%), Nösenberger (67%), St. Hippolyt (67%), Eggersmann (33%)","INSTITUTIONAL 36%, CORPORATE 36%, OTHER 18%, REFERENCE 9%"
pr_3b705cc9-5167-44e0-83c3-d105b97744ad,Analysiere das Preis-Leistungs-Verhältnis von in Deutschland hergestelltem Pferdefutter.,Pferde Nahrungsergänzung,2,0.0,own_only,True,0,0,0,"Marstall (100%), Eggersmann (100%), Höveler (67%), St. Hippolyt (67%)","CORPORATE 53%, REFERENCE 20%, EDITORIAL 14%, INSTITUTIONAL 9%, UGC 1%, COMPETITOR 1%"
pr_ce22dac0-782c-42ea-a6e4-2c595108b4d6,Pferdefutter zur Gelenkunterstützung ohne künstliche Aromen kaufen.,Gelenkunterstützung für Pferde,2,0.0,own_only,True,0,0,0,"Höveler (67%), Eggersmann (33%), St. Hippolyt (33%)",CORPORATE 100%
